mode,rows,cols,iters,wrap,lx,ly,h2d_ms,kernel_ms,d2h_ms,total_ms,wall_total_ms,tiled
cpu_seq,512,512,2000,0,1,1,0.000000,8339.432067,0.000000,8339.432067,8339.432067,0
gpu_naive,512,512,2000,0,16,16,0.022342,145.048339,0.022957,145.093638,192.216580,0
gpu_tiled,512,512,2000,0,4,4,0.022534,125.818714,0.023098,125.864346,184.082860,1
gpu_tiled,512,512,2000,0,8,8,0.023110,57.980518,0.028288,58.031917,105.810720,1
gpu_tiled,512,512,2000,0,16,16,0.022387,66.219859,0.024762,66.267008,102.896600,1
cpu_seq,1024,1024,1000,0,1,1,0.000000,16550.334167,0.000000,16550.334167,16550.334167,0
gpu_naive,1024,1024,1000,0,16,16,0.085082,251.264282,0.090835,251.440198,277.810280,0
gpu_tiled,1024,1024,1000,0,4,4,0.085395,209.622970,0.092192,209.800557,229.990200,1
gpu_tiled,1024,1024,1000,0,8,8,0.084877,77.859757,0.094746,78.039379,95.928380,1
gpu_tiled,1024,1024,1000,0,16,16,0.084928,120.538445,0.096640,120.720013,140.365980,1
cpu_seq,2048,2048,500,0,1,1,0.000000,33534.238233,0.000000,33534.238233,33534.238233,0
gpu_naive,2048,2048,500,0,16,16,0.461562,493.395334,0.500608,494.357504,509.943820,0
gpu_tiled,2048,2048,500,0,4,4,0.548563,422.457030,0.493549,423.499142,447.520920,1
gpu_tiled,2048,2048,500,0,8,8,0.491814,148.525478,0.496666,149.513958,161.956420,1
gpu_tiled,2048,2048,500,0,16,16,0.469882,230.286304,0.467021,231.223206,245.808440,1
cpu_seq,4096,4096,250,0,1,1,0.000000,71612.815700,0.000000,71612.815700,71612.815700,0
gpu_naive,4096,4096,250,0,16,16,2.234406,1017.915328,2.099078,1022.248813,1053.185720,0
gpu_tiled,4096,4096,250,0,4,4,1.980973,926.109523,2.336390,930.426886,978.039880,1
gpu_tiled,4096,4096,250,0,8,8,3.066912,317.006035,2.890637,322.963584,380.013720,1
gpu_tiled,4096,4096,250,0,16,16,2.156525,476.043821,2.213126,480.413472,491.691700,1
